Latitude (decimal degrees):	59.735
Longitude (decimal degrees):	6.756
Elevation (m):	388
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: 0 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20180101:0011,0.0,0.0,-5.11,1.86,0.0
20180101:0111,0.0,0.0,-4.53,1.66,0.0
20180101:0211,0.0,0.0,-3.85,1.93,0.0
20180101:0311,0.0,0.0,-3.09,2.41,0.0
20180101:0411,0.0,0.0,-2.41,3.1,0.0
20180101:0511,0.0,0.0,-2.07,3.38,0.0
20180101:0611,0.0,0.0,-2.02,2.97,0.0
20180101:0711,0.0,0.0,-2.08,2.97,0.0
20180101:0811,0.0,0.0,-2.19,2.69,0.0
20180101:0911,1.74,2.09,-2.23,2.48,0.0
20180101:1011,5.21,5.44,-2.16,2.0,0.0
20180101:1111,6.95,7.1,-2.18,1.93,0.0
20180101:1211,7.82,6.94,-2.12,1.52,0.0
20180101:1311,4.35,4.99,-2.02,1.31,0.0
20180101:1411,0.0,0.0,-2.39,1.52,0.0
20180101:1511,0.0,0.0,-2.4,1.52,0.0
20180101:1611,0.0,0.0,-3.25,1.93,0.0
20180101:1711,0.0,0.0,-3.51,2.07,0.0
20180101:1811,0.0,0.0,-3.64,2.28,0.0
20180101:1911,0.0,0.0,-4.31,2.14,0.0
20180101:2011,0.0,0.0,-4.5,2.14,0.0
20180101:2111,0.0,0.0,-4.64,2.14,0.0
20180101:2211,0.0,0.0,-4.69,2.14,0.0
20180101:2311,0.0,0.0,-4.85,2.07,0.0
20180102:0011,0.0,0.0,-4.82,2.14,0.0
20180102:0111,0.0,0.0,-4.84,2.14,0.0
20180102:0211,0.0,0.0,-4.7,2.14,0.0
20180102:0311,0.0,0.0,-4.6,2.21,0.0
20180102:0411,0.0,0.0,-4.56,2.0,0.0
20180102:0511,0.0,0.0,-4.3,1.86,0.0
20180102:0611,0.0,0.0,-4.3,1.86,0.0
20180102:0711,0.0,0.0,-4.89,2.0,0.0
20180102:0811,0.0,0.0,-4.21,1.59,0.0
20180102:0911,9.56,2.14,-4.18,1.59,0.0
20180102:1011,23.47,5.5,-4.44,1.72,0.0
20180102:1111,8.69,7.18,-4.16,1.45,0.0
20180102:1211,29.55,7.04,-4.24,1.45,0.0
20180102:1311,5.21,5.1,-4.07,1.24,0.0
20180102:1411,0.0,0.0,-3.99,1.17,0.0
20180102:1511,0.0,0.0,-3.48,0.83,0.0
20180102:1611,0.0,0.0,-3.55,0.69,0.0
20180102:1711,0.0,0.0,-3.7,0.97,0.0
20180102:1811,0.0,0.0,-3.85,0.97,0.0
20180102:1911,0.0,0.0,-3.28,1.1,0.0
20180102:2011,0.0,0.0,-3.85,1.31,0.0
20180102:2111,0.0,0.0,-4.87,1.66,0.0
20180102:2211,0.0,0.0,-5.83,2.0,0.0
20180102:2311,0.0,0.0,-6.11,2.14,0.0
20180103:0011,0.0,0.0,-6.41,2.34,0.0
20180103:0111,0.0,0.0,-6.33,2.62,0.0
20180103:0211,0.0,0.0,-5.73,3.03,0.0
20180103:0311,0.0,0.0,-5.5,2.9,0.0
20180103:0411,0.0,0.0,-5.13,3.17,0.0
20180103:0511,0.0,0.0,-4.86,3.31,0.0
20180103:0611,0.0,0.0,-5.05,3.17,0.0
20180103:0711,0.0,0.0,-4.84,4.0,0.0
20180103:0811,0.0,0.0,-4.82,4.14,0.0
20180103:0911,7.82,2.2,-4.5,4.28,0.0
20180103:1011,21.73,5.58,-4.31,4.21,0.0
20180103:1111,7.82,7.26,-4.29,3.66,0.0
20180103:1211,39.11,7.14,-4.15,3.66,0.0
20180103:1311,20.86,5.21,-4.07,3.93,0.0
20180103:1411,0.87,1.62,-4.11,3.66,0.0
20180103:1511,0.0,0.0,-4.26,4.07,0.0
20180103:1611,0.0,0.0,-4.47,3.93,0.0
20180103:1711,0.0,0.0,-4.64,3.79,0.0
20180103:1811,0.0,0.0,-4.62,3.66,0.0
20180103:1911,0.0,0.0,-4.72,2.9,0.0
20180103:2011,0.0,0.0,-4.94,2.69,0.0
20180103:2111,0.0,0.0,-5.03,2.55,0.0
20180103:2211,0.0,0.0,-5.05,2.48,0.0
20180103:2311,0.0,0.0,-4.88,2.55,0.0
20180104:0011,0.0,0.0,-4.84,2.48,0.0
20180104:0111,0.0,0.0,-4.84,2.34,0.0
20180104:0211,0.0,0.0,-4.96,2.21,0.0
20180104:0311,0.0,0.0,-5.05,2.07,0.0
20180104:0411,0.0,0.0,-5.12,2.07,0.0
20180104:0511,0.0,0.0,-5.19,2.0,0.0
20180104:0611,0.0,0.0,-5.27,2.0,0.0
20180104:0711,0.0,0.0,-5.43,2.28,0.0
20180104:0811,0.0,0.0,-5.03,2.0,0.0
20180104:0911,1.74,2.27,-4.85,2.07,0.0
20180104:1011,32.16,5.66,-4.62,2.14,0.0
20180104:1111,7.82,7.36,-4.39,2.07,0.0
20180104:1211,7.82,7.25,-4.5,1.86,0.0
20180104:1311,5.21,5.33,-4.41,1.79,0.0
20180104:1411,0.87,1.75,-4.54,1.86,0.0
20180104:1511,0.0,0.0,-4.67,1.93,0.0
20180104:1611,0.0,0.0,-4.86,2.0,0.0
20180104:1711,0.0,0.0,-5.1,1.93,0.0
20180104:1811,0.0,0.0,-5.31,1.86,0.0
20180104:1911,0.0,0.0,-5.79,2.07,0.0
20180104:2011,0.0,0.0,-5.52,1.86,0.0
20180104:2111,0.0,0.0,-5.54,1.86,0.0
20180104:2211,0.0,0.0,-5.49,1.86,0.0
20180104:2311,0.0,0.0,-5.9,2.21,0.0
20180105:0011,0.0,0.0,-6.03,2.28,0.0
20180105:0111,0.0,0.0,-6.35,2.41,0.0
20180105:0211,0.0,0.0,-6.7,2.55,0.0
20180105:0311,0.0,0.0,-7.11,2.55,0.0
20180105:0411,0.0,0.0,-7.36,2.48,0.0
20180105:0511,0.0,0.0,-7.52,2.41,0.0
20180105:0611,0.0,0.0,-7.48,2.41,0.0
20180105:0711,0.0,0.0,-7.6,2.21,0.0
20180105:0811,0.0,0.0,-7.0,1.86,0.0
20180105:0911,2.61,2.34,-7.02,1.86,0.0
20180105:1011,29.55,5.74,-6.94,1.93,0.0
20180105:1111,33.03,7.46,-6.79,1.79,0.0
20180105:1211,46.93,7.36,-6.46,1.59,0.0
20180105:1311,11.3,5.45,-6.08,1.38,0.0
20180105:1411,0.87,1.88,-5.6,1.24,0.0
20180105:1511,0.0,0.0,-5.45,1.03,0.0
20180105:1611,0.0,0.0,-5.64,0.97,0.0
20180105:1711,0.0,0.0,-5.82,0.76,0.0
20180105:1811,0.0,0.0,-6.02,0.48,0.0
20180105:1911,0.0,0.0,-5.62,0.62,0.0
20180105:2011,0.0,0.0,-5.55,0.48,0.0
20180105:2111,0.0,0.0,-5.53,0.34,0.0
20180105:2211,0.0,0.0,-5.51,0.48,0.0
20180105:2311,0.0,0.0,-5.64,0.62,0.0
20180106:0011,0.0,0.0,-5.72,0.48,0.0
20180106:0111,0.0,0.0,-5.98,0.48,0.0
20180106:0211,0.0,0.0,-5.88,0.55,0.0
20180106:0311,0.0,0.0,-6.34,0.62,0.0
20180106:0411,0.0,0.0,-6.58,0.9,0.0
20180106:0511,0.0,0.0,-6.85,1.31,0.0
20180106:0611,0.0,0.0,-7.3,1.52,0.0
20180106:0711,0.0,0.0,-7.74,1.52,0.0
20180106:0811,0.0,0.0,-7.68,1.45,0.0
20180106:0911,1.74,2.42,-7.65,1.38,0.0
20180106:1011,6.08,5.84,-7.92,1.17,0.0
20180106:1111,7.82,7.57,-8.15,0.9,0.0
20180106:1211,7.82,7.49,-8.29,0.69,0.0
20180106:1311,5.21,5.59,-8.33,0.62,0.0
20180106:1411,0.87,2.02,-8.24,0.69,0.0
20180106:1511,0.0,0.0,-8.21,0.69,0.0
20180106:1611,0.0,0.0,-8.25,0.62,0.0
20180106:1711,0.0,0.0,-8.35,0.62,0.0
20180106:1811,0.0,0.0,-8.63,0.69,0.0
20180106:1911,0.0,0.0,-8.35,0.69,0.0
20180106:2011,0.0,0.0,-8.35,0.69,0.0
20180106:2111,0.0,0.0,-8.43,0.55,0.0
20180106:2211,0.0,0.0,-8.43,0.41,0.0
20180106:2311,0.0,0.0,-8.44,0.55,0.0
20180107:0011,0.0,0.0,-8.84,0.55,0.0
20180107:0111,0.0,0.0,-9.24,0.48,0.0
20180107:0211,0.0,0.0,-9.3,0.69,0.0
20180107:0311,0.0,0.0,-9.76,0.83,0.0
20180107:0411,0.0,0.0,-9.92,1.17,0.0
20180107:0511,0.0,0.0,-10.17,1.31,0.0
20180107:0611,0.0,0.0,-10.14,1.59,0.0
20180107:0711,0.0,0.0,-11.02,1.45,0.0
20180107:0811,0.0,0.0,-11.37,1.93,0.0
20180107:0911,1.74,2.51,-11.72,2.55,0.0
20180107:1011,25.2,5.94,-11.69,3.52,0.0
20180107:1111,7.82,7.69,-10.05,4.34,0.0
20180107:1211,7.82,7.62,-8.79,4.55,0.0
20180107:1311,13.91,5.73,-7.65,4.62,0.0
20180107:1411,1.74,2.17,-6.74,4.21,0.0
20180107:1511,0.0,0.0,-6.13,3.66,0.0
20180107:1611,0.0,0.0,-5.92,3.1,0.0
20180107:1711,0.0,0.0,-6.05,3.03,0.0
20180107:1811,0.0,0.0,-6.0,2.83,0.0
20180107:1911,0.0,0.0,-5.74,2.48,0.0
20180107:2011,0.0,0.0,-5.51,2.21,0.0
20180107:2111,0.0,0.0,-5.24,2.07,0.0
20180107:2211,0.0,0.0,-4.49,1.72,0.0
20180107:2311,0.0,0.0,-4.01,1.59,0.0
